"STATION","NAME","DATE","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-01","15.0","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-02","16.1","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-03","13.3","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-04","16.1","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-05","16.7","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-06","12.8","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-07","12.8","5.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-08","13.3","6.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-09","13.9","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-10","13.3","7.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-11","12.8","6.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-12","12.2","6.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-13","12.8","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-14","15.0","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-15","15.0","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-16","13.9","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-17","15.0","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-18","14.4","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-19","13.3","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-20","14.4","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-21","16.1","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-22","15.0","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-23","15.6","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-24","15.0","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-25","15.6","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-26","16.7","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-27","17.2","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-28","20.0","13.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-29","22.8","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-30","18.9","12.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-31","15.6","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-01","15.6","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-02","14.4","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-03","12.8","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-04","16.1","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-05","13.9","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-06","13.9","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-07","11.7","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-08","12.8","6.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-09","13.9","7.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-10","16.7","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-11","15.0","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-12","15.6","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-13","14.4","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-14","14.4","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-15","15.0","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-16","15.6","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-17","14.4","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-18","17.8","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-19","16.7","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-20","14.4","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-21","15.6","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-22","16.1","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-23","18.9","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-24","21.7","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-25","17.2","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-26","16.7","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-27","16.1","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-28","18.9","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-29","15.0","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-01","13.9","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-02","12.2","6.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-03","12.8","7.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-04","14.4","7.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-05","15.6","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-06","13.9","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-07","15.6","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-08","18.3","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-09","15.6","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-10","16.7","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-11","15.0","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-12","15.6","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-13","16.1","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-14","20.0","13.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-15","22.8","15.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-16","19.4","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-17","16.1","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-18","15.6","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-19","15.6","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-20","15.6","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-21","18.3","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-22","18.3","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-23","15.0","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-24","14.4","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-25","13.9","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-26","15.6","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-27","15.0","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-28","16.1","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-29","11.7","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-30","16.7","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-03-31","16.7","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-01","20.6","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-02","18.3","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-03","15.0","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-04","12.2","5.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-05","12.2","6.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-06","14.4","7.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-07","14.4","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-08","17.8","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-09","19.4","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-10","22.2","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-11","18.3","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-12","14.4","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-13","12.8","7.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-14","14.4","7.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-15","15.6","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-16","19.4","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-17","22.8","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-18","21.1","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-19","16.1","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-20","16.7","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-21","20.0","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-22","16.7","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-23","15.6","12.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-24","16.7","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-25","15.6","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-26","15.6","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-27","16.7","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-28","16.7","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-29","17.2","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-04-30","17.2","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-01","20.0","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-02","18.3","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-03","20.0","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-04","12.8","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-05","13.9","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-06","15.6","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-07","17.8","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-08","25.6","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-09","27.2","12.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-10","25.6","12.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-11","18.9","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-12","15.6","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-13","15.0","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-14","16.7","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-15","16.1","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-16","17.2","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-17","17.2","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-18","16.7","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-19","16.7","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-20","18.3","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-21","20.6","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-05-22","19.4","11.1"
